job_name,first,second,first-second,third
高级管理-高级管理职位-区域负责人(辖多个分公司),高级管理,高级管理职位,高级管理-高级管理职位,区域负责人(辖多个分公司)
咨询/翻译/法律-咨询/调研-咨询经理,咨询/翻译/法律,咨询/调研,咨询/翻译/法律-咨询/调研,咨询经理
生产制造-技工/普工-抛光工,生产制造,技工/普工,生产制造-技工/普工,抛光工
运营-运营-国内电商运营,运营,运营,运营-运营,国内电商运营
市场-市场/营销-网络营销,市场,市场/营销,市场-市场/营销,网络营销
生产制造-技工/普工-钣金工,生产制造,技工/普工,生产制造-技工/普工,钣金工
技术-后端开发-Golang,技术,后端开发,技术-后端开发,Golang
房地产/建筑-建筑/规划设计-城市规划设计,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,城市规划设计
市场-市场/营销-海外市场,市场,市场/营销,市场-市场/营销,海外市场
教育培训-特长培训-轮滑教练,教育培训,特长培训,教育培训-特长培训,轮滑教练
供应链/物流-交通/运输-快递员,供应链/物流,交通/运输,供应链/物流-交通/运输,快递员
生产制造-技工/普工-磨工,生产制造,技工/普工,生产制造-技工/普工,磨工
服务业-宠物服务-宠物医生,服务业,宠物服务,服务业-宠物服务,宠物医生
技术-通信-通信研发工程师,技术,通信,技术-通信,通信研发工程师
教育培训-特长培训-钢琴教师,教育培训,特长培训,教育培训-特长培训,钢琴教师
医疗健康-生物制药-生物学研究人员,医疗健康,生物制药,医疗健康-生物制药,生物学研究人员
教育培训-教师-早教老师,教育培训,教师,教育培训-教师,早教老师
服务业-餐饮-凉菜厨师,服务业,餐饮,服务业-餐饮,凉菜厨师
技术-人工智能-大模型算法,技术,人工智能,技术-人工智能,大模型算法
房地产/建筑-工程管理-施工员,房地产/建筑,工程管理,房地产/建筑-工程管理,施工员
服务业-汽车服务-汽车美容,服务业,汽车服务,服务业-汽车服务,汽车美容
服务业-安保/家政/维修-护工,服务业,安保/家政/维修,服务业-安保/家政/维修,护工
技术-后端开发-.NET,技术,后端开发,技术-后端开发,.NET
生产制造-技工/普工-焊工,生产制造,技工/普工,生产制造-技工/普工,焊工
销售-销售-销售专员,销售,销售,销售-销售,销售专员
技术-高端技术职位-技术总监,技术,高端技术职位,技术-高端技术职位,技术总监
销售-课程销售-课程顾问,销售,课程销售,销售-课程销售,课程顾问
市场-市场/营销-APP推广,市场,市场/营销,市场-市场/营销,APP推广
人力/财务/行政-行政-文员,人力/财务/行政,行政,人力/财务/行政-行政,文员
传媒-影视媒体-剧本杀主持人,传媒,影视媒体,传媒-影视媒体,剧本杀主持人
服务业-餐饮-调酒师,服务业,餐饮,服务业-餐饮,调酒师
技术-运维/技术支持-运维开发工程师,技术,运维/技术支持,技术-运维/技术支持,运维开发工程师
房地产/建筑-建筑/规划设计-建筑工程师,房地产/建筑,建筑/规划设计,房地产/建筑-建筑/规划设计,建筑工程师
技术-项目管理-项目经理/主管,技术,项目管理,技术-项目管理,项目经理/主管
教育培训-特长培训-舞蹈老师,教育培训,特长培训,教育培训-特长培训,舞蹈老师
技术-后端开发-其他后端开发,技术,后端开发,技术-后端开发,其他后端开发
销售-服务业销售-美容顾问,销售,服务业销售,销售-服务业销售,美容顾问
服务业-美容保健-化妆师,服务业,美容保健,服务业-美容保健,化妆师
运营-运营-直播运营,运营,运营,运营-运营,直播运营
教育培训-特长培训-书法教师,教育培训,特长培训,教育培训-特长培训,书法教师
教育培训-特长培训-机器人教师,教育培训,特长培训,教育培训-特长培训,机器人教师
教育培训-特长培训-健身教练,教育培训,特长培训,教育培训-特长培训,健身教练
